Title,Artist,Genre,Year,Popularity
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,85
I Like It,Cardi B,pop,2018,85
New Rules,Dua Lipa,dance pop,2018,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,84
no tears left to cry,Ariana Grande,dance pop,2018,84
IDGAF,Dua Lipa,dance pop,2018,84
In My Blood,Shawn Mendes,canadian pop,2018,83
Wolves,Selena Gomez,dance pop,2018,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,83
Attention,Charlie Puth,dance pop,2018,83
Electricity (with Dua Lipa),Silk City,edm,2018,82
Love On The Brain,Rihanna,barbadian pop,2018,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,82
Silence,Marshmello,brostep,2018,82
Sorry Not Sorry,Demi Lovato,dance pop,2018,81
Shallow - Radio Edit,Lady Gaga,dance pop,2018,80
These Days,Rudimental,dance pop,2018,80
What Lovers Do (feat. SZA),Maroon 5,pop,2018,79
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,78
Perfect Duet (Ed Sheeran & Beyonc?,Ed Sheeran,pop,2018,78
Bad At Love,Halsey,dance pop,2018,78
Him & I (with Halsey),G-Eazy,hip hop,2018,78
Friends (with BloodPop?,Justin Bieber,canadian pop,2018,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,76
My My My!,Troye Sivan,dance pop,2018,76
Capital Letters,Hailee Steinfeld,dance pop,2018,76
Sick Boy,The Chainsmokers,electropop,2018,76
Tequila,Dan + Shay,contemporary country,2018,76
Look What You Made Me Do,Taylor Swift,pop,2018,75
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,75
Bad Liar,Selena Gomez,dance pop,2018,75
Anywhere,Rita Ora,dance pop,2018,74
Say Something,Justin Timberlake,dance pop,2018,74
Chun-Li,Nicki Minaj,dance pop,2018,73
Sign of the Times,Harry Styles,dance pop,2018,72
Familiar,Liam Payne,dance pop,2018,72
Let Me,ZAYN,dance pop,2018,72
Supernova,Ansel Elgort,dance pop,2018,72
Nervous,Shawn Mendes,canadian pop,2018,71
First Time,Kygo,edm,2018,71
End Game,Taylor Swift,pop,2018,70
Mi Gente (feat. Beyonc?,J Balvin,latin,2018,68
Lemon,N.E.R.D,hip hop,2018,68
For You (With Rita Ora),Liam Payne,dance pop,2018,67
Want To,Dua Lipa,dance pop,2018,67
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,67
Wait,Maroon 5,pop,2018,67
What About Us,P!nk,dance pop,2018,66
Kissing Strangers,DNCE,dance pop,2018,66
2U (feat. Justin Bieber),David Guetta,dance pop,2018,65
Walk On Water (feat. Beyonc?,Eminem,detroit hip hop,2018,65
This Town,Niall Horan,dance pop,2018,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,64
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,64
Filthy,Justin Timberlake,dance pop,2018,62
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,57
Ferrari,Bebe Rexha,dance pop,2018,57
Supplies,Justin Timberlake,dance pop,2018,57
Boom Boom,RedOne,moroccan pop,2018,53
...Ready For It? - BloodPop?Remix,Taylor Swift,pop,2018,52
Drip (feat. Migos),Cardi B,pop,2018,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,44
Memories,Maroon 5,pop,2019,99
Lose You To Love Me,Selena Gomez,dance pop,2019,97
Someone You Loved,Lewis Capaldi,pop,2019,96
Senorita,Shawn Mendes,canadian pop,2019,95
How Do You Sleep?,Sam Smith,pop,2019,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,92
Trampoline (with ZAYN),SHAED,electropop,2019,92
Happier,Marshmello,brostep,2019,90
Truth Hurts,Lizzo,escape room,2019,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,90
Higher Love,Kygo,edm,2019,88
Only Human,Jonas Brothers,boy band,2019,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,86
Sucker,Jonas Brothers,boy band,2019,86
Don't Call Me Up,Mabel,dance pop,2019,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,84
Takeaway,The Chainsmokers,electropop,2019,83
All Around The World (La La La),R3HAB,big room,2019,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,81
Call You Mine,The Chainsmokers,electropop,2019,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,77
Con Calma - Remix,Daddy Yankee,latin,2019,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,69
Kills You Slowly,The Chainsmokers,electropop,2019,67
